               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.016465,            0.021746,           0.0035218,             0.95863,             0.99419,             0.99267,             0.84085,           0.0074031,            0.013848,          0.00076126,            0.004555,            0.004555,            0.004555
                 112,            0.018052,            0.021903,           0.0033664,             0.97408,             0.99279,             0.99375,             0.84679,           0.0073718,            0.014117,          0.00086144,           0.0045055,           0.0045055,           0.0045055
                 113,             0.01887,            0.023342,           0.0037315,             0.92257,             0.97675,             0.98004,             0.85997,           0.0074508,            0.013842,          0.00083721,            0.004456,            0.004456,            0.004456
                 114,            0.019743,            0.022458,           0.0034982,             0.95391,             0.95057,             0.98218,             0.82444,           0.0080169,            0.014776,          0.00078126,           0.0044065,           0.0044065,           0.0044065
                 115,            0.018177,            0.021622,           0.0025677,             0.98474,             0.96229,             0.98722,             0.85171,           0.0068903,            0.014043,           0.0007766,            0.004357,            0.004357,            0.004357
                 116,            0.017429,            0.021202,           0.0038437,             0.96229,               0.939,             0.97968,              0.8544,           0.0079807,            0.015226,          0.00074491,           0.0043075,           0.0043075,           0.0043075
                 117,            0.018493,            0.023047,           0.0040419,             0.97613,             0.89998,             0.96333,             0.83908,           0.0068138,            0.015601,          0.00076779,            0.004258,            0.004258,            0.004258
                 118,            0.019087,             0.02317,           0.0046208,              0.9892,             0.91389,             0.97832,             0.83668,           0.0071606,            0.016661,          0.00078928,           0.0042085,           0.0042085,           0.0042085
                 119,            0.018706,            0.022117,           0.0035327,             0.96462,             0.95647,             0.98223,             0.85784,           0.0065588,            0.017037,          0.00073612,            0.004159,            0.004159,            0.004159
                 120,            0.018945,            0.022135,           0.0031065,             0.95839,             0.93749,             0.97556,             0.88058,           0.0072575,            0.014216,          0.00065841,           0.0041095,           0.0041095,           0.0041095
                 121,            0.017606,            0.020151,           0.0035428,             0.98003,             0.93849,             0.98325,             0.86217,           0.0065547,            0.014241,          0.00064992,             0.00406,             0.00406,             0.00406
                 122,            0.019361,            0.021376,           0.0027302,              0.9157,             0.97391,             0.98361,             0.84917,           0.0064762,             0.01388,          0.00067916,           0.0040105,           0.0040105,           0.0040105
                 123,            0.018613,            0.021615,           0.0027089,             0.92408,             0.99728,             0.98938,             0.84652,            0.007444,            0.014552,          0.00058807,            0.003961,            0.003961,            0.003961
                 124,            0.019411,            0.022848,            0.002696,             0.91237,             0.97738,             0.98365,             0.84946,           0.0072784,            0.014307,          0.00055271,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018939,            0.022415,           0.0033788,             0.96235,             0.92786,             0.98497,             0.85751,           0.0070252,            0.012807,          0.00057883,            0.003862,            0.003862,            0.003862
                 126,            0.017682,            0.021139,           0.0035241,             0.96556,              0.9199,             0.97463,             0.83912,           0.0068721,            0.012547,           0.0005719,           0.0038125,           0.0038125,           0.0038125
                 127,            0.016781,            0.020641,           0.0042465,             0.96473,             0.92441,             0.98086,             0.84767,           0.0066527,             0.01337,          0.00058558,            0.003763,            0.003763,            0.003763
                 128,            0.016251,            0.021913,           0.0027665,             0.96367,             0.92102,             0.98157,             0.85104,           0.0068551,            0.014746,          0.00057917,           0.0037135,           0.0037135,           0.0037135
                 129,            0.015944,            0.020933,            0.003524,             0.94291,             0.97209,             0.98208,             0.83712,           0.0060394,            0.013316,          0.00057914,            0.003664,            0.003664,            0.003664
                 130,            0.017852,            0.020763,           0.0030735,             0.91287,               0.975,             0.97657,             0.85013,           0.0076706,            0.015871,          0.00058124,           0.0036145,           0.0036145,           0.0036145
                 131,            0.018781,            0.020814,           0.0039107,             0.92368,              0.9768,             0.97969,             0.82827,           0.0080357,            0.016453,          0.00056623,            0.003565,            0.003565,            0.003565
                 132,            0.017598,            0.021447,           0.0029664,              0.9216,               0.964,             0.98053,             0.85749,           0.0062164,            0.013766,          0.00054651,           0.0035155,           0.0035155,           0.0035155
                 133,            0.017538,            0.022708,           0.0028322,             0.94102,             0.94838,             0.98269,             0.85702,           0.0066718,             0.01432,           0.0005247,            0.003466,            0.003466,            0.003466
                 134,            0.017754,            0.020357,           0.0030849,              0.9727,             0.94948,              0.9845,               0.845,            0.006467,            0.014185,          0.00050057,           0.0034165,           0.0034165,           0.0034165
                 135,            0.016923,            0.020867,           0.0026555,             0.96055,             0.92058,             0.97814,             0.84989,           0.0070055,            0.014329,          0.00049254,            0.003367,            0.003367,            0.003367
                 136,            0.016003,            0.021059,           0.0048616,             0.93999,              0.9288,             0.97968,             0.86589,           0.0067016,            0.016232,          0.00047883,           0.0033175,           0.0033175,           0.0033175
                 137,            0.016952,            0.019799,           0.0026424,             0.93814,             0.92695,              0.9824,             0.84671,           0.0068199,            0.017069,          0.00049635,            0.003268,            0.003268,            0.003268
                 138,            0.017356,            0.020364,           0.0039392,             0.88842,             0.99111,             0.98086,             0.84469,           0.0070654,            0.015845,          0.00057564,           0.0032185,           0.0032185,           0.0032185
                 139,            0.017074,            0.021345,           0.0027075,             0.93657,             0.92687,             0.98086,             0.85696,           0.0070821,            0.014334,          0.00054943,            0.003169,            0.003169,            0.003169
